Sex,SocioEconomicStatus,ParentalEncouragement,IntelligenceQuotient,CollegePlans
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,yes
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,low,lower_middle,no
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,yes
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,high,lower_middle,no
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,yes
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,low,upper_middle,no
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,yes
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,high,upper_middle,no
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,yes
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,low,high,no
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,yes
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,low,high,high,no
male,lower_middle,low,low,yes
male,lower_middle,low,low,yes
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
male,lower_middle,low,low,no
