,Sex,SocioEconomicStatus,ParentalEncouragement,IntelligenceQuotient,CollegePlans
377,male,low,high,low,no
378,male,low,high,low,no
379,male,low,high,low,no
380,male,low,high,low,no
381,male,low,high,low,no
382,male,low,high,low,no
383,male,low,high,low,no
384,male,low,high,low,no
385,male,low,high,low,no
386,male,low,high,low,no
387,male,low,high,low,no
388,male,low,high,low,no
389,male,low,high,low,no
390,male,low,high,low,no
391,male,low,high,low,no
392,male,low,high,low,no
393,male,low,high,low,no
394,male,low,high,low,no
395,male,low,high,low,no
396,male,low,high,low,no
397,male,low,high,low,no
398,male,low,high,low,no
399,male,low,high,low,no
400,male,low,high,low,no
401,male,low,high,low,no
402,male,low,high,low,no
403,male,low,high,low,no
404,male,low,high,low,no
405,male,low,high,low,no
406,male,low,high,low,no
407,male,low,high,low,no
408,male,low,high,low,no
409,male,low,high,low,no
410,male,low,high,low,no
411,male,low,high,low,no
412,male,low,high,low,no
413,male,low,high,low,no
414,male,low,high,low,no
415,male,low,high,low,no
416,male,low,high,low,no
417,male,low,high,low,no
418,male,low,high,low,no
419,male,low,high,low,no
420,male,low,high,low,no
421,male,low,high,low,no
422,male,low,high,low,no
423,male,low,high,low,no
424,male,low,high,low,no
425,male,low,high,low,no
426,male,low,high,low,no
427,male,low,high,low,no
428,male,low,high,low,no
429,male,low,high,low,no
430,male,low,low,lower_middle,yes
431,male,low,low,lower_middle,yes
432,male,low,low,lower_middle,yes
433,male,low,low,lower_middle,yes
434,male,low,low,lower_middle,yes
435,male,low,low,lower_middle,yes
436,male,low,low,lower_middle,yes
437,male,low,low,lower_middle,yes
438,male,low,low,lower_middle,yes
439,male,low,low,lower_middle,no
440,male,low,low,lower_middle,no
441,male,low,low,lower_middle,no
442,male,low,low,lower_middle,no
443,male,low,low,lower_middle,no
444,male,low,low,lower_middle,no
445,male,low,low,lower_middle,no
446,male,low,low,lower_middle,no
447,male,low,low,lower_middle,no
448,male,low,low,lower_middle,no
449,male,low,low,lower_middle,no
450,male,low,low,lower_middle,no
451,male,low,low,lower_middle,no
452,male,low,low,lower_middle,no
453,male,low,low,lower_middle,no
454,male,low,low,lower_middle,no
455,male,low,low,lower_middle,no
456,male,low,low,lower_middle,no
457,male,low,low,lower_middle,no
458,male,low,low,lower_middle,no
459,male,low,low,lower_middle,no
460,male,low,low,lower_middle,no
461,male,low,low,lower_middle,no
462,male,low,low,lower_middle,no
463,male,low,low,lower_middle,no
464,male,low,low,lower_middle,no
465,male,low,low,lower_middle,no
466,male,low,low,lower_middle,no
467,male,low,low,lower_middle,no
468,male,low,low,lower_middle,no
469,male,low,low,lower_middle,no
470,male,low,low,lower_middle,no
471,male,low,low,lower_middle,no
472,male,low,low,lower_middle,no
473,male,low,low,lower_middle,no
474,male,low,low,lower_middle,no
475,male,low,low,lower_middle,no
476,male,low,low,lower_middle,no
477,male,low,low,lower_middle,no
478,male,low,low,lower_middle,no
479,male,low,low,lower_middle,no
480,male,low,low,lower_middle,no
481,male,low,low,lower_middle,no
482,male,low,low,lower_middle,no
483,male,low,low,lower_middle,no
484,male,low,low,lower_middle,no
485,male,low,low,lower_middle,no
486,male,low,low,lower_middle,no
487,male,low,low,lower_middle,no
488,male,low,low,lower_middle,no
489,male,low,low,lower_middle,no
490,male,low,low,lower_middle,no
491,male,low,low,lower_middle,no
492,male,low,low,lower_middle,no
493,male,low,low,lower_middle,no
494,male,low,low,lower_middle,no
495,male,low,low,lower_middle,no
496,male,low,low,lower_middle,no
497,male,low,low,lower_middle,no
498,male,low,low,lower_middle,no
499,male,low,low,lower_middle,no
500,male,low,low,lower_middle,no
501,male,low,low,lower_middle,no
502,male,low,low,lower_middle,no
503,male,low,low,lower_middle,no
504,male,low,low,lower_middle,no
505,male,low,low,lower_middle,no
506,male,low,low,lower_middle,no
507,male,low,low,lower_middle,no
508,male,low,low,lower_middle,no
509,male,low,low,lower_middle,no
510,male,low,low,lower_middle,no
511,male,low,low,lower_middle,no
512,male,low,low,lower_middle,no
513,male,low,low,lower_middle,no
514,male,low,low,lower_middle,no
515,male,low,low,lower_middle,no
516,male,low,low,lower_middle,no
517,male,low,low,lower_middle,no
518,male,low,low,lower_middle,no
519,male,low,low,lower_middle,no
520,male,low,low,lower_middle,no
521,male,low,low,lower_middle,no
522,male,low,low,lower_middle,no
523,male,low,low,lower_middle,no
524,male,low,low,lower_middle,no
525,male,low,low,lower_middle,no
526,male,low,low,lower_middle,no
527,male,low,low,lower_middle,no
528,male,low,low,lower_middle,no
529,male,low,low,lower_middle,no
530,male,low,low,lower_middle,no
531,male,low,low,lower_middle,no
532,male,low,low,lower_middle,no
533,male,low,low,lower_middle,no
534,male,low,low,lower_middle,no
535,male,low,low,lower_middle,no
536,male,low,low,lower_middle,no
537,male,low,low,lower_middle,no
538,male,low,low,lower_middle,no
539,male,low,low,lower_middle,no
540,male,low,low,lower_middle,no
541,male,low,low,lower_middle,no
542,male,low,low,lower_middle,no
543,male,low,low,lower_middle,no
544,male,low,low,lower_middle,no
545,male,low,low,lower_middle,no
546,male,low,low,lower_middle,no
547,male,low,low,lower_middle,no
548,male,low,low,lower_middle,no
549,male,low,low,lower_middle,no
550,male,low,low,lower_middle,no
551,male,low,low,lower_middle,no
552,male,low,low,lower_middle,no
553,male,low,low,lower_middle,no
554,male,low,low,lower_middle,no
555,male,low,low,lower_middle,no
556,male,low,low,lower_middle,no
557,male,low,low,lower_middle,no
558,male,low,low,lower_middle,no
559,male,low,low,lower_middle,no
560,male,low,low,lower_middle,no
561,male,low,low,lower_middle,no
562,male,low,low,lower_middle,no
563,male,low,low,lower_middle,no
564,male,low,low,lower_middle,no
565,male,low,low,lower_middle,no
566,male,low,low,lower_middle,no
567,male,low,low,lower_middle,no
568,male,low,low,lower_middle,no
569,male,low,low,lower_middle,no
570,male,low,low,lower_middle,no
571,male,low,low,lower_middle,no
572,male,low,low,lower_middle,no
573,male,low,low,lower_middle,no
574,male,low,low,lower_middle,no
575,male,low,low,lower_middle,no
576,male,low,low,lower_middle,no
577,male,low,low,lower_middle,no
578,male,low,low,lower_middle,no
579,male,low,low,lower_middle,no
580,male,low,low,lower_middle,no
581,male,low,low,lower_middle,no
582,male,low,low,lower_middle,no
583,male,low,low,lower_middle,no
584,male,low,low,lower_middle,no
585,male,low,low,lower_middle,no
586,male,low,low,lower_middle,no
587,male,low,low,lower_middle,no
588,male,low,low,lower_middle,no
589,male,low,low,lower_middle,no
590,male,low,low,lower_middle,no
591,male,low,low,lower_middle,no
592,male,low,low,lower_middle,no
593,male,low,low,lower_middle,no
594,male,low,low,lower_middle,no
595,male,low,low,lower_middle,no
596,male,low,low,lower_middle,no
597,male,low,low,lower_middle,no
598,male,low,low,lower_middle,no
599,male,low,low,lower_middle,no
600,male,low,low,lower_middle,no
601,male,low,low,lower_middle,no
602,male,low,low,lower_middle,no
603,male,low,low,lower_middle,no
604,male,low,low,lower_middle,no
605,male,low,low,lower_middle,no
606,male,low,low,lower_middle,no
607,male,low,low,lower_middle,no
608,male,low,low,lower_middle,no
609,male,low,low,lower_middle,no
610,male,low,low,lower_middle,no
611,male,low,low,lower_middle,no
612,male,low,low,lower_middle,no
613,male,low,low,lower_middle,no
614,male,low,low,lower_middle,no
615,male,low,low,lower_middle,no
616,male,low,low,lower_middle,no
617,male,low,low,lower_middle,no
618,male,low,low,lower_middle,no
619,male,low,low,lower_middle,no
620,male,low,low,lower_middle,no
621,male,low,low,lower_middle,no
622,male,low,low,lower_middle,no
623,male,low,low,lower_middle,no
624,male,low,low,lower_middle,no
625,male,low,low,lower_middle,no
626,male,low,low,lower_middle,no
627,male,low,low,lower_middle,no
628,male,low,low,lower_middle,no
629,male,low,low,lower_middle,no
630,male,low,low,lower_middle,no
631,male,low,low,lower_middle,no
632,male,low,low,lower_middle,no
633,male,low,low,lower_middle,no
634,male,low,low,lower_middle,no
635,male,low,low,lower_middle,no
636,male,low,low,lower_middle,no
637,male,low,low,lower_middle,no
638,male,low,low,lower_middle,no
639,male,low,low,lower_middle,no
640,male,low,low,lower_middle,no
641,male,low,low,lower_middle,no
642,male,low,low,lower_middle,no
643,male,low,low,lower_middle,no
644,male,low,low,lower_middle,no
645,male,low,low,lower_middle,no
646,male,low,high,lower_middle,yes
647,male,low,high,lower_middle,yes
648,male,low,high,lower_middle,yes
649,male,low,high,lower_middle,yes
650,male,low,high,lower_middle,yes
651,male,low,high,lower_middle,yes
652,male,low,high,lower_middle,yes
653,male,low,high,lower_middle,yes
654,male,low,high,lower_middle,yes
655,male,low,high,lower_middle,yes
656,male,low,high,lower_middle,yes
657,male,low,high,lower_middle,yes
658,male,low,high,lower_middle,yes
659,male,low,high,lower_middle,yes
660,male,low,high,lower_middle,yes
661,male,low,high,lower_middle,yes
662,male,low,high,lower_middle,yes
663,male,low,high,lower_middle,yes
664,male,low,high,lower_middle,yes
665,male,low,high,lower_middle,yes
666,male,low,high,lower_middle,yes
667,male,low,high,lower_middle,yes
668,male,low,high,lower_middle,yes
669,male,low,high,lower_middle,yes
670,male,low,high,lower_middle,yes
671,male,low,high,lower_middle,yes
672,male,low,high,lower_middle,yes
673,male,low,high,lower_middle,yes
674,male,low,high,lower_middle,yes
675,male,low,high,lower_middle,yes
676,male,low,high,lower_middle,yes
677,male,low,high,lower_middle,yes
678,male,low,high,lower_middle,yes
679,male,low,high,lower_middle,no
680,male,low,high,lower_middle,no
681,male,low,high,lower_middle,no
682,male,low,high,lower_middle,no
683,male,low,high,lower_middle,no
684,male,low,high,lower_middle,no
685,male,low,high,lower_middle,no
686,male,low,high,lower_middle,no
687,male,low,high,lower_middle,no
688,male,low,high,lower_middle,no
689,male,low,high,lower_middle,no
690,male,low,high,lower_middle,no
691,male,low,high,lower_middle,no
692,male,low,high,lower_middle,no
693,male,low,high,lower_middle,no
694,male,low,high,lower_middle,no
695,male,low,high,lower_middle,no
696,male,low,high,lower_middle,no
697,male,low,high,lower_middle,no
698,male,low,high,lower_middle,no
699,male,low,high,lower_middle,no
700,male,low,high,lower_middle,no
701,male,low,high,lower_middle,no
702,male,low,high,lower_middle,no
703,male,low,high,lower_middle,no
704,male,low,high,lower_middle,no
705,male,low,high,lower_middle,no
706,male,low,high,lower_middle,no
707,male,low,high,lower_middle,no
708,male,low,high,lower_middle,no
709,male,low,high,lower_middle,no
710,male,low,high,lower_middle,no
711,male,low,high,lower_middle,no
712,male,low,high,lower_middle,no
713,male,low,high,lower_middle,no
714,male,low,high,lower_middle,no
715,male,low,high,lower_middle,no
716,male,low,high,lower_middle,no
717,male,low,high,lower_middle,no
718,male,low,high,lower_middle,no
719,male,low,high,lower_middle,no
720,male,low,high,lower_middle,no
721,male,low,high,lower_middle,no
722,male,low,high,lower_middle,no
723,male,low,high,lower_middle,no
724,male,low,high,lower_middle,no
725,male,low,high,lower_middle,no
726,male,low,high,lower_middle,no
727,male,low,high,lower_middle,no
728,male,low,high,lower_middle,no
729,male,low,high,lower_middle,no
730,male,low,high,lower_middle,no
731,male,low,high,lower_middle,no
732,male,low,high,lower_middle,no
733,male,low,high,lower_middle,no
734,male,low,high,lower_middle,no
735,male,low,high,lower_middle,no
736,male,low,high,lower_middle,no
737,male,low,high,lower_middle,no
738,male,low,high,lower_middle,no
739,male,low,high,lower_middle,no
740,male,low,high,lower_middle,no
741,male,low,high,lower_middle,no
742,male,low,high,lower_middle,no
743,male,low,high,lower_middle,no
744,male,low,high,lower_middle,no
745,male,low,high,lower_middle,no
746,male,low,high,lower_middle,no
747,male,low,high,lower_middle,no
748,male,low,high,lower_middle,no
749,male,low,high,lower_middle,no
750,male,low,high,lower_middle,no
751,male,low,low,upper_middle,yes
752,male,low,low,upper_middle,yes
753,male,low,low,upper_middle,yes
754,male,low,low,upper_middle,yes
755,male,low,low,upper_middle,yes
756,male,low,low,upper_middle,yes
757,male,low,low,upper_middle,yes
758,male,low,low,upper_middle,yes
759,male,low,low,upper_middle,yes
760,male,low,low,upper_middle,yes
761,male,low,low,upper_middle,yes
762,male,low,low,upper_middle,yes
763,male,low,low,upper_middle,no
764,male,low,low,upper_middle,no
765,male,low,low,upper_middle,no
766,male,low,low,upper_middle,no
767,male,low,low,upper_middle,no
768,male,low,low,upper_middle,no
769,male,low,low,upper_middle,no
770,male,low,low,upper_middle,no
771,male,low,low,upper_middle,no
772,male,low,low,upper_middle,no
773,male,low,low,upper_middle,no
774,male,low,low,upper_middle,no
775,male,low,low,upper_middle,no
776,male,low,low,upper_middle,no
777,male,low,low,upper_middle,no
778,male,low,low,upper_middle,no
779,male,low,low,upper_middle,no
780,male,low,low,upper_middle,no
781,male,low,low,upper_middle,no
782,male,low,low,upper_middle,no
783,male,low,low,upper_middle,no
784,male,low,low,upper_middle,no
785,male,low,low,upper_middle,no
786,male,low,low,upper_middle,no
787,male,low,low,upper_middle,no
788,male,low,low,upper_middle,no
789,male,low,low,upper_middle,no
790,male,low,low,upper_middle,no
791,male,low,low,upper_middle,no
792,male,low,low,upper_middle,no
793,male,low,low,upper_middle,no
794,male,low,low,upper_middle,no
795,male,low,low,upper_middle,no
796,male,low,low,upper_middle,no
797,male,low,low,upper_middle,no
798,male,low,low,upper_middle,no
799,male,low,low,upper_middle,no
800,male,low,low,upper_middle,no
801,male,low,low,upper_middle,no
802,male,low,low,upper_middle,no
803,male,low,low,upper_middle,no
804,male,low,low,upper_middle,no
805,male,low,low,upper_middle,no
806,male,low,low,upper_middle,no
807,male,low,low,upper_middle,no
808,male,low,low,upper_middle,no
809,male,low,low,upper_middle,no
810,male,low,low,upper_middle,no
811,male,low,low,upper_middle,no
812,male,low,low,upper_middle,no
813,male,low,low,upper_middle,no
814,male,low,low,upper_middle,no
815,male,low,low,upper_middle,no
816,male,low,low,upper_middle,no
817,male,low,low,upper_middle,no
818,male,low,low,upper_middle,no
819,male,low,low,upper_middle,no
820,male,low,low,upper_middle,no
821,male,low,low,upper_middle,no
822,male,low,low,upper_middle,no
823,male,low,low,upper_middle,no
824,male,low,low,upper_middle,no
825,male,low,low,upper_middle,no
826,male,low,low,upper_middle,no
827,male,low,low,upper_middle,no
828,male,low,low,upper_middle,no
829,male,low,low,upper_middle,no
830,male,low,low,upper_middle,no
831,male,low,low,upper_middle,no
832,male,low,low,upper_middle,no
833,male,low,low,upper_middle,no
834,male,low,low,upper_middle,no
835,male,low,low,upper_middle,no
836,male,low,low,upper_middle,no
837,male,low,low,upper_middle,no
838,male,low,low,upper_middle,no
839,male,low,low,upper_middle,no
840,male,low,low,upper_middle,no
841,male,low,low,upper_middle,no
842,male,low,low,upper_middle,no
843,male,low,low,upper_middle,no
844,male,low,low,upper_middle,no
845,male,low,low,upper_middle,no
846,male,low,low,upper_middle,no
847,male,low,low,upper_middle,no
848,male,low,low,upper_middle,no
849,male,low,low,upper_middle,no
850,male,low,low,upper_middle,no
851,male,low,low,upper_middle,no
852,male,low,low,upper_middle,no
853,male,low,low,upper_middle,no
854,male,low,low,upper_middle,no
855,male,low,low,upper_middle,no
856,male,low,low,upper_middle,no
857,male,low,low,upper_middle,no
858,male,low,low,upper_middle,no
859,male,low,low,upper_middle,no
860,male,low,low,upper_middle,no
861,male,low,low,upper_middle,no
862,male,low,low,upper_middle,no
863,male,low,low,upper_middle,no
864,male,low,low,upper_middle,no
865,male,low,low,upper_middle,no
866,male,low,low,upper_middle,no
867,male,low,low,upper_middle,no
868,male,low,low,upper_middle,no
869,male,low,low,upper_middle,no
870,male,low,low,upper_middle,no
871,male,low,low,upper_middle,no
872,male,low,low,upper_middle,no
873,male,low,low,upper_middle,no
874,male,low,low,upper_middle,no
875,male,low,low,upper_middle,no
876,male,low,low,upper_middle,no
877,male,low,low,upper_middle,no
878,male,low,low,upper_middle,no
879,male,low,low,upper_middle,no
880,male,low,low,upper_middle,no
881,male,low,low,upper_middle,no
882,male,low,low,upper_middle,no
883,male,low,low,upper_middle,no
884,male,low,low,upper_middle,no
885,male,low,low,upper_middle,no
886,male,low,low,upper_middle,no
887,male,low,low,upper_middle,no
888,male,low,low,upper_middle,no
889,male,low,high,upper_middle,yes
890,male,low,high,upper_middle,yes
891,male,low,high,upper_middle,yes
892,male,low,high,upper_middle,yes
893,male,low,high,upper_middle,yes
894,male,low,high,upper_middle,yes
895,male,low,high,upper_middle,yes
896,male,low,high,upper_middle,yes
897,male,low,high,upper_middle,yes
898,male,low,high,upper_middle,yes
899,male,low,high,upper_middle,yes
900,male,low,high,upper_middle,yes
901,male,low,high,upper_middle,yes
902,male,low,high,upper_middle,yes
903,male,low,high,upper_middle,yes
904,male,low,high,upper_middle,yes
905,male,low,high,upper_middle,yes
906,male,low,high,upper_middle,yes
907,male,low,high,upper_middle,yes
908,male,low,high,upper_middle,yes
909,male,low,high,upper_middle,yes
910,male,low,high,upper_middle,yes
911,male,low,high,upper_middle,yes
912,male,low,high,upper_middle,yes
913,male,low,high,upper_middle,yes
914,male,low,high,upper_middle,yes
915,male,low,high,upper_middle,yes
916,male,low,high,upper_middle,yes
917,male,low,high,upper_middle,yes
918,male,low,high,upper_middle,yes
919,male,low,high,upper_middle,yes
920,male,low,high,upper_middle,yes
921,male,low,high,upper_middle,yes
922,male,low,high,upper_middle,yes
923,male,low,high,upper_middle,yes
924,male,low,high,upper_middle,yes
925,male,low,high,upper_middle,yes
926,male,low,high,upper_middle,yes
927,male,low,high,upper_middle,no
928,male,low,high,upper_middle,no
929,male,low,high,upper_middle,no
930,male,low,high,upper_middle,no
931,male,low,high,upper_middle,no
932,male,low,high,upper_middle,no
933,male,low,high,upper_middle,no
934,male,low,high,upper_middle,no
935,male,low,high,upper_middle,no
936,male,low,high,upper_middle,no
937,male,low,high,upper_middle,no
938,male,low,high,upper_middle,no
939,male,low,high,upper_middle,no
940,male,low,high,upper_middle,no
941,male,low,high,upper_middle,no
942,male,low,high,upper_middle,no
943,male,low,high,upper_middle,no
944,male,low,high,upper_middle,no
945,male,low,high,upper_middle,no
946,male,low,high,upper_middle,no
947,male,low,high,upper_middle,no
948,male,low,high,upper_middle,no
949,male,low,high,upper_middle,no
950,male,low,high,upper_middle,no
951,male,low,high,upper_middle,no
952,male,low,high,upper_middle,no
953,male,low,high,upper_middle,no
954,male,low,high,upper_middle,no
955,male,low,high,upper_middle,no
956,male,low,high,upper_middle,no
957,male,low,high,upper_middle,no
958,male,low,high,upper_middle,no
959,male,low,high,upper_middle,no
960,male,low,high,upper_middle,no
961,male,low,high,upper_middle,no
962,male,low,high,upper_middle,no
963,male,low,high,upper_middle,no
964,male,low,high,upper_middle,no
965,male,low,high,upper_middle,no
966,male,low,high,upper_middle,no
967,male,low,high,upper_middle,no
968,male,low,high,upper_middle,no
969,male,low,high,upper_middle,no
